Tiempo,Masa_Calido,Masa_Frio
0.00,6.000000,6.000000
1.00,3.561856,3.032669
2.00,2.114470,1.532847
3.00,1.255240,0.774770
4.00,0.745164,0.391603
5.00,0.442361,0.197934
6.00,0.262605,0.100045
7.00,0.155893,0.050567
8.00,0.092545,0.025559
9.00,0.054939,0.012919
10.00,0.032614,0.006530
11.00,0.019361,0.003300
12.00,0.011494,0.001668
13.00,0.006823,0.000843
14.00,0.004050,0.000426
15.00,0.002405,0.000215
16.00,0.001427,0.000109
17.00,0.000847,0.000055
18.00,0.000503,0.000028
19.00,0.000299,0.000014
20.00,0.000177,0.000007
21.00,0.000105,0.000004
22.00,0.000062,0.000002
23.00,0.000037,0.000001
24.00,0.000022,0.000000
25.00,0.000013,0.000000
26.00,0.000008,0.000000
27.00,0.000005,0.000000
28.00,0.000003,0.000000
29.00,0.000002,0.000000
30.00,0.000001,0.000000
31.00,0.000001,0.000000
32.00,0.000000,0.000000
33.00,0.000000,0.000000
34.00,0.000000,0.000000
35.00,0.000000,0.000000
36.00,0.000000,0.000000
37.00,0.000000,0.000000
38.00,0.000000,0.000000
39.00,0.000000,0.000000
40.00,0.000000,0.000000
